Id	Source	Target	Developer Note	Max Length	Comment	Xliff Generator Note	NAB AL Tool Refresh Xlf	State	State Qualifier
Table 3432403750 - Field 3004954119 - Property 2879900210	Code					Table Composition Quality Header - Field Code - Property Caption	New translation.		
Table 3432403750 - Field 3461834954 - Property 2879900210	Description					Table Composition Quality Header - Field Description - Property Caption	New translation.		
Table 3432403750 - Field 2846309017 - Property 2879900210	Legal Normative Code					Table Composition Quality Header - Field Legal Normative Code - Property Caption	New translation.		
Table 3432403750 - Field 1441826626 - Property 2879900210	Raw Materials Group Code					Table Composition Quality Header - Field Raw Materials Group Code - Property Caption	New translation.		
Table 3432403750 - Field 513339096 - Property 2879900210	Status					Table Composition Quality Header - Field Status - Property Caption	New translation.		
Table 2603177837 - Property 2879900210	Composition Quality Line					Table Composition Quality Line - Property Caption	New translation.		
Table 2603177837 - Field 1608463932 - Property 2879900210	Composition Quality Code					Table Composition Quality Line - Field Composition Quality Code - Property Caption	New translation.		
Table 2603177837 - Field 4190130733 - Property 2879900210	Customer No.					Table Composition Quality Line - Field Customer No. - Property Caption	New translation.		
Table 2603177837 - Field 3461834954 - Property 2879900210	Description					Table Composition Quality Line - Field Description - Property Caption	New translation.		
Table 2603177837 - Field 3320823955 - Property 2879900210	Line No.					Table Composition Quality Line - Field Line No. - Property Caption	New translation.		
Table 2603177837 - Field 3346356419 - Property 2879900210	Max. Value					Table Composition Quality Line - Field Max. Value - Property Caption	New translation.		
Table 2603177837 - Field 2021910041 - Property 2879900210	Min. Value					Table Composition Quality Line - Field Min. Value - Property Caption	New translation.		
Table 2603177837 - Field 1056804591 - Property 2879900210	Qlty Measure Code					Table Composition Quality Line - Field Qlty Measure Code - Property Caption	New translation.		
Table 2603177837 - Field 3954845702 - Property 2879900210	Qlty Measure Group Code					Table Composition Quality Line - Field Qlty Measure Group Code - Property Caption	New translation.		
Table 882149755 - Property 2879900210	Movimientos de valores de calidad					Table Quality Compos. Value Entry - Property Caption	New translation.		
Table 882149755 - Field 4120197227 - Property 2879900210	Changed By					Table Quality Compos. Value Entry - Field Changed By - Property Caption	New translation.		
Table 882149755 - Field 2369664869 - Property 2879900210	Created By					Table Quality Compos. Value Entry - Field Created By - Property Caption	New translation.		
Table 882149755 - Field 1407200743 - Property 2879900210	Creation Date					Table Quality Compos. Value Entry - Field Creation Date - Property Caption	New translation.		
Table 882149755 - Field 3461834954 - Property 2879900210	Description					Table Quality Compos. Value Entry - Field Description - Property Caption	New translation.		
Table 882149755 - Field 883711285 - Property 2879900210	Entry No.					Table Quality Compos. Value Entry - Field Entry No. - Property Caption	New translation.		
Table 882149755 - Field 568743302 - Property 2879900210	Item No.					Table Quality Compos. Value Entry - Field Item No. - Property Caption	New translation.		
Table 882149755 - Field 1482668068 - Property 2879900210	Lot No.					Table Quality Compos. Value Entry - Field Lot No. - Property Caption	New translation.		
Table 882149755 - Field 3346356419 - Property 2879900210	Max. Value					Table Quality Compos. Value Entry - Field Max. Value - Property Caption	New translation.		
Table 882149755 - Field 2021910041 - Property 2879900210	Min. Value					Table Quality Compos. Value Entry - Field Min. Value - Property Caption	New translation.		
Table 882149755 - Field 4240543679 - Property 2879900210	Package No.					Table Quality Compos. Value Entry - Field Package No. - Property Caption	New translation.		
Table 882149755 - Field 1056804591 - Property 2879900210	Qlty Measure Code					Table Quality Compos. Value Entry - Field Qlty Measure Code - Property Caption	New translation.		
Table 882149755 - Field 3954845702 - Property 2879900210	Qlty Measure Group Code					Table Quality Compos. Value Entry - Field Qlty Measure Group Code - Property Caption	New translation.		
Table 882149755 - Field 1251542347 - Property 2879900210	Quality Status					Table Quality Compos. Value Entry - Field Quality Status - Property Caption	New translation.		
Table 882149755 - Field 3263329074 - Property 2879900210	Source Batch Name					Table Quality Compos. Value Entry - Field Source Batch Name - Property Caption	New translation.		
Table 882149755 - Field 345314420 - Property 2879900210	Source ID					Table Quality Compos. Value Entry - Field Source ID - Property Caption	New translation.		
Table 882149755 - Field 370558406 - Property 2879900210	Source Prod. Order Line					Table Quality Compos. Value Entry - Field Source Prod. Order Line - Property Caption	New translation.		
Table 882149755 - Field 627063663 - Property 2879900210	Source Ref. No.					Table Quality Compos. Value Entry - Field Source Ref. No. - Property Caption	New translation.		
Table 882149755 - Field 1753214751 - Property 2879900210	Source Type					Table Quality Compos. Value Entry - Field Source Type - Property Caption	New translation.		
Table 882149755 - Field 1753214751 - Property 62802879	,Sales Order,Purchase Order					Table Quality Compos. Value Entry - Field Source Type - Property OptionCaption	New translation.		
Table 882149755 - Field 1131619133 - Property 2879900210	Value					Table Quality Compos. Value Entry - Field Value - Property Caption	New translation.		
Table 882149755 - Field 3450651614 - Property 2879900210	Variant Code					Table Quality Compos. Value Entry - Field Variant Code - Property Caption	New translation.		
Table 639751074 - Property 2879900210	Quality Cue					Table Quality Cue - Property Caption	New translation.		
Table 639751074 - Field 39344658 - Property 2879900210	Comp. Qlty - Open					Table Quality Cue - Field Comp. Qlty - Open - Property Caption	New translation.		
Table 639751074 - Field 3005676566 - Property 2879900210	Comp. Qlty - Pending Approval					Table Quality Cue - Field Comp. Qlty - Pending Approval - Property Caption	New translation.		
Table 639751074 - Field 1663593181 - Property 2879900210	Primary Key					Table Quality Cue - Field Primary Key - Property Caption	New translation.		
Table 639751074 - Field 174838176 - Property 2879900210	Purch Document - Open Qlty.					Table Quality Cue - Field Purch Document - Open Qlty. - Property Caption	New translation.		
Table 639751074 - Field 1297587313 - Property 2879900210	Purch Document - Pending Qlty.					Table Quality Cue - Field Purch Document - Pending Qlty. - Property Caption	New translation.		
Table 639751074 - Field 3455024340 - Property 2879900210	Sales Document - Open Qlty.					Table Quality Cue - Field Sales Document - Open Qlty. - Property Caption	New translation.		
Table 639751074 - Field 30398213 - Property 2879900210	Sales Document - Pending Qlty.					Table Quality Cue - Field Sales Document - Pending Qlty. - Property Caption	New translation.		
Table 3375502678 - Property 2879900210	Quality Cue					Table Quality Measure Group - Property Caption	New translation.		
Table 3375502678 - Field 3004954119 - Property 2879900210	Code					Table Quality Measure Group - Field Code - Property Caption	New translation.		
Table 3375502678 - Field 3461834954 - Property 2879900210	Description					Table Quality Measure Group - Field Description - Property Caption	New translation.		
Table 3502056030 - Property 2879900210	Quality Setup					Table Quality Setup - Property Caption	New translation.		
Table 3502056030 - Field 2102368575 - Property 2879900210	Archive Compos. Quality Nos.					Table Quality Setup - Field Archive Doc. Quality Nos. - Property Caption	New translation.		
Table 3502056030 - Field 3004954119 - Property 2879900210	Code					Table Quality Setup - Field Code - Property Caption	New translation.		
Table 3502056030 - Field 829201974 - Property 2879900210	Full Name Quality Manager					Table Quality Setup - Field Full Name Quality Manager - Property Caption	New translation.		
Table 3502056030 - Field 827325613 - Property 2879900210	Logo Certification					Table Quality Setup - Field Logo Certification - Property Caption	New translation.		
Table 3502056030 - Field 298034456 - Property 2879900210	User Id. Quality Manager					Table Quality Setup - Field User Id. Quality Manager - Property Caption	New translation.		
Page 331772574 - Property 2879900210	Archive Document Quality Header					Page Archive Document Qlty Header - Property Caption	New translation.		
Page 331772574 - Control 2445482498 - Property 2879900210	General					Page Archive Document Qlty Header - Control General - Property Caption	New translation.		
Page 331772574 - Control 1911147233 - Property 2879900210	Link Document					Page Archive Document Qlty Header - Control LinkDocument - Property Caption	New translation.		
Page 331772574 - Control 3873595854 - Property 2879900210	Source Document					Page Archive Document Qlty Header - Control SourceDocument - Property Caption	New translation.		
Page 331772574 - Action 424208938 - Property 2879900210	Action50184					Page Archive Document Qlty Header - Action Action50184 - Property Caption	New translation.		
Page 331772574 - Action 3194075647 - Property 2879900210	Init Document					Page Archive Document Qlty Header - Action Init Document - Property Caption	New translation.		
Page 331772574 - Action 548367981 - Property 2879900210	Post Value					Page Archive Document Qlty Header - Action PostValue - Property Caption	New translation.		
Page 2634128075 - Property 2879900210	Archive Document Qlty Headers					Page Archive Document Qlty Headers - Property Caption	New translation.		
Page 2634128075 - Control 739346273 - Property 2879900210	General					Page Archive Document Qlty Headers - Control Group - Property Caption	New translation.		
Page 2634128075 - Action 424208938 - Property 2879900210	Action50184					Page Archive Document Qlty Headers - Action Action50184 - Property Caption	New translation.		
Page 4186505985 - Property 2879900210	Lines					Page Archive Document Qlty Subform - Property Caption	New translation.		
Page 4186505985 - Control 739346273 - Property 2879900210	General					Page Archive Document Qlty Subform - Control Group - Property Caption	New translation.		
